Rivet ID,Analysis Name,Experiment Name,Inspire HEP Link,Inspire HEP ID
ALICE_2016_I1394676,"Charged particle production as function of centrality, peripheral events only, in PbPb collisions at 2.76 TeV.",ALICE (LHC),https://inspirehep.net/literature/1394676,1394676
ALICE_2016_I1419244,Anisotropic flow of charged particles in PbPb collisions at 5.02 TeV.,ALICE (LHC),https://inspirehep.net/literature/1419244,1419244
ALICE_2016_I1471838,Enhanced production of multi-strange hadrons in high-multiplicity proton-proton collisions.,ALICE (LHC),https://inspirehep.net/literature/1471838,1471838
ALICE_2016_I1507090,Charged particle production as function of centrality in PbPb collisions at 5.02 TeV.,ALICE (LHC),https://inspirehep.net/literature/1507090,1507090
ALICE_2016_I1507157,Angular correlations of identified particles at 7 TeV.,ALICE (LHC),https://inspirehep.net/literature/1507157,1507157
ALICE_2017_I1511870,Measurement of D-meson production at mid-rapidity in pp collisions at $\sqrt{s}=7$ TeV,ALICE (LHC),https://inspirehep.net/literature/1511870,1511870
ALICE_2017_I1512110,"Invariant cross section of neutral pions measured at mid-rapidity in pp collisions at $2.76\,$TeV.",ALICE (LHC),https://inspirehep.net/literature/1512110,1512110
ALICE_2017_I1620477,"Invariant cross section of neutral pions at mid-rapidity in $8\,$TeV pp collisions",ALICE (LHC),https://inspirehep.net/literature/1620477,1620477
ALICE_2017_I1645239,$\Lambda_\mathrm{c}^+$ production in pp collisions at $\sqrt{s} = 7$ TeV and in p-Pb collisions at $\sqrt{s_\mathrm{NN}} = 5.02$ TeV,ALICE (LHC),https://inspirehep.net/literature/1645239,1645239
ALICE_2019_I1723697,"Multi-particle correlations in pp, pPb, XeXe and PbPb",ALICE (LHC),https://inspirehep.net/literature/1723697,1723697
ALICE_2021_I1891391,$K_{S}^{0}$ - and (anti-)$\Lambda$-hadron correlations in pp collisions at $\sqrt{s} = 13$ TeV,ALICE (LHC),https://inspirehep.net/literature/1891391,1891391
ALICE_2022_I1868463,"$\Sigma_c^{0,+,++}$ and $\Lambda_c$ from $\Sigma_c^{0,+,++}$ analysis",ALICE (LHC),https://inspirehep.net/literature/1868463,1868463
AMY_1990_I283337,Event shapes in $e^+e^-$ collisions at 55.2 GeV,AMY (Tristan),https://inspirehep.net/literature/283337,283337
AMY_1990_I294525,Measurement of $R$ for energies between 50 and 61.4 GeV.,AMY (Tristan),https://inspirehep.net/literature/294525,294525
AMY_1990_I295160,Hadronic charged multiplicity measurement between 50 and 61.4 GeV,AMY (TRISTAN),https://inspirehep.net/literature/295160,295160
AMY_1990_I298238,Measurement of the $\tau$ polarization at $E_{\text{CMS}}=57$ GeV,AMY (Tristan),https://inspirehep.net/literature/298238,298238
AMY_1995_I406129,Durham and Jade differential 2-jet rate at 57.7 GeV,AMY (Tristan),https://inspirehep.net/literature/406129,406129
ARGUS_1986_I227324,Event shapes in $\Upsilon(1S)$ decay and nearby continuum,ARGUS (DORIS),https://inspirehep.net/literature/227324,227324
ARGUS_1988_I251097,"Hyperon spectra in $e^+e^-$ collisions in the continuum at 10 GeV and at $\Upsilon_{1,2}$",ARGUS (DORIS),https://inspirehep.net/literature/251097,251097
ARGUS_1988_I261672,"Spectrum for $\Sigma_c^{0,++}$ production in $e^+e^-$ at 10 GeV in the continuum",ARGUS (DORIS),https://inspirehep.net/literature/261672,261672
ARGUS_1989_I262415,Spectra for the production of $\Lambda^0(1520)$ in $e^+e^-$ collisions in the continuum at 10 GeV and the $\Upsilon_1$,ARGUS (DORIS),https://inspirehep.net/literature/262415,262415
ARGUS_1989_I262551,"Spectra for $\phi$ meson production for $e^+e^-$ collisions in the continuum at 10 GeV and at $\Upsilon_{1,2}$",ARGUS (DORIS),https://inspirehep.net/literature/262551,262551
ARGUS_1989_I268577,Spectrum and decay angle for $D^0_{2}$ production in $e^+e^-$ at 10 GeV in the continuum,ARGUS (DORIS),https://inspirehep.net/literature/268577,268577
ARGUS_1989_I276860,"Spectra for $\pi^\pm$, $K^\pm$, $K^0_S$ and $\bar{p}$ in $e^+e^-$ collisions at the $\Upsilon(1S)$ and continuum",ARGUS (DORIS),https://inspirehep.net/literature/276860,276860
ARGUS_1989_I278932,Spectrum of $\Delta^{++}$ baryons produced in $\Upsilon(1S)$ decays,ARGUS (DORIS),https://inspirehep.net/literature/278932,278932
ARGUS_1989_I280943,Spectra and decay distributions for $D_1(2420)^0$ and $D^*_2(2460)^0$ production in $e^+e^-$ collisions at 10 GeV,ARGUS (DORIS),https://inspirehep.net/literature/280943,280943
ARGUS_1989_I282570,Spectrum for $D^+_{s1}(2536)$ production at 10. GeV,ARGUS (DORIS),https://inspirehep.net/literature/282570,282570
ARGUS_1990_I278933,"$\pi^0$ and $\eta$ spectra for $e^+e^-$ collisions in the continuum at 9.46 GeV and at $\Upsilon_{1,2}$",ARGUS (DORIS),https://inspirehep.net/literature/278933,278933
ARGUS_1990_I283027,Anti-deuteron production in $\Upsilon$ decays,ARGUS (DORIS),https://inspirehep.net/literature/283027,283027
ARGUS_1990_I296522,"Spectrum for $\Xi_c^{0,+}$ production at 10.5 GeV",ARGUS (DORIS),https://inspirehep.net/literature/296522,296522
ARGUS_1991_I315059,"$D^0$, $D^+$, $D^{*+}$ production in $e^+e^-$ annihilation at 10.47 GeV, and $B$ decays",ARGUS (DORIS),https://inspirehep.net/literature/315059,315059
ARGUS_1992_I319102,Measurement of $R$ at 9.36 GeV and charged particle multiplicities in continuum and at the $\Upsilon(4S)$,ARGUS (DORIS),https://inspirehep.net/literature/319102,319102
ARGUS_1992_I319105,Decay asymmetries in $\Lambda^+_c\to\Lambda^0\pi^+$,ARGUS (DORIS),https://inspirehep.net/literature/319105,319105
ARGUS_1993_I357132,Spectrum for $\Lambda_c^+(2625)$ production at 10.58 GeV,ARGUS (DORIS),https://inspirehep.net/literature/357132,357132
ARGUS_1993_S2653028,"Inclusive production of charged pions, kaons and protons in $\Upsilon(4S)$ decays.",(),https://inspirehep.net/literature/340894,340894
ARGUS_1993_S2669951,Production of the $\eta'(958)$ and $f_0(980)$ in $e^+e^-$ annihilation in the Upsilon region.,ARGUS (DORIS),https://inspirehep.net/literature/342061,342061
ARGUS_1993_S2789213,"Inclusive production of $K^*(892)$, $\rho^0(770)$, and $\omega(783)$ mesons in the upsilon energy region.",ARGUS (DORIS),https://inspirehep.net/literature/356616,356616
ARGUS_1994_I354224,$K^0_s$ production in B decays,ARGUS (DORIS),https://inspirehep.net/literature/354224,354224
ARGUS_1994_I371613,Decay asymmetry in $\Lambda^+_c\to\Lambda^0 \ell^+ \nu_\ell$,ARGUS (DORIS),https://inspirehep.net/literature/371613,371613
ARGUS_1995_I397794,Spectrum for $D_{s2}^+$ production at 10.58 GeV,ARGUS (,https://inspirehep.net/literature/397794,397794
ARGUS_1997_I440304,Spectrum for $\Lambda_c^+(2595)$ production at 10.4 GeV,ARGUS (DORIS),https://inspirehep.net/literature/440304,440304
ATLAS_2010_CONF_2010_049,Cross-section and fragmentation function in anti-$k_t$ track jets,ATLAS (LHC 7000GeV),https://inspirehep.net/literature?q=None,None
ATLAS_2010_S8591806,Charged particles at 900 GeV in ATLAS,ATLAS (LHC 900GeV),https://inspirehep.net/literature/849050,849050
ATLAS_2010_S8817804,Inclusive jet cross section and di-jet mass and chi spectra at 7 TeV in ATLAS,ATLAS (LHC 7TeV),https://inspirehep.net/literature/871366,871366
ATLAS_2010_S8894728,Track-based underlying event at 900 GeV and 7 TeV in ATLAS,ATLAS (LHC),https://inspirehep.net/literature/879407,879407
ATLAS_2010_S8914702,Inclusive isolated prompt photon analysis,ATLAS (LHC 7TeV),https://inspirehep.net/literature/882463,882463
ATLAS_2010_S8918562,Track-based minimum bias at 900 GeV and 2.36 and 7 TeV in ATLAS,ATLAS (LHC),https://inspirehep.net/literature/882098,882098
ATLAS_2010_S8919674,$W$ + jets jet multiplicities and $p_\perp$,ATLAS (LHC),https://inspirehep.net/literature/882534,882534
ATLAS_2011_CONF_2011_090,Single lepton search for supersymmetry,ATLAS (LHC),N/A,
ATLAS_2011_CONF_2011_098,b-jets search for supersymmetry with 0-leptons,ATLAS (LHC),N/A,
ATLAS_2011_I894867,Measurement of the inelastic proton-proton cross-section at $\sqrt{s} = $7 TeV.,ATLAS (LHC),https://inspirehep.net/literature/894867,894867
ATLAS_2011_I919017,Measurement of ATLAS track jet properties at 7 TeV,ATLAS (LHC),https://inspirehep.net/literature/919017,919017
ATLAS_2011_I921594,Inclusive isolated prompt photon analysis with full 2010 LHC data,ATLAS (LHC 7TeV),https://inspirehep.net/literature/921594,921594
ATLAS_2011_I925932,Measurement of the W pT with electrons and muons at 7 TeV,ATLAS (LHC),https://inspirehep.net/literature/925932,925932
ATLAS_2011_I926145,Measurement of electron and muon differential cross-section from heavy-flavour decays,ATLAS (LHC),https://inspirehep.net/literature/926145,926145
ATLAS_2011_I928289_W,W inclusive cross sections at 7 TeV,ATLAS (LHC),https://inspirehep.net/literature/928289,928289
ATLAS_2011_I928289_Z,Z inclusive cross sections at 7 TeV,ATLAS (LHC),https://inspirehep.net/literature/928289,928289
ATLAS_2011_I929691,Jet fragmentation at 7 TeV,ATLAS (LHC),https://inspirehep.net/literature/929691,929691
ATLAS_2011_I930220,Inclusive and dijet cross-sections of $b$-jets in $pp$ collisions at $\sqrt{s} = 7$ TeV with ATLAS,ATLAS (LHC),https://inspirehep.net/literature/930220,930220
ATLAS_2011_I944826,$K_S^0$ and $\Lambda$ production at 0.9 and 7 TeV with ATLAS,ATLAS (LHC),https://inspirehep.net/literature/944826,944826
ATLAS_2011_I945498,$Z$+jets in $pp$ at 7 TeV,ATLAS (LHC),https://inspirehep.net/literature/945498,945498
ATLAS_2011_I954993,$WZ$ fiducial cross-section at 7 TeV in ATLAS,ATLAS (LHC 7TeV),https://inspirehep.net/literature/954993,954993
ATLAS_2011_S8924791,Jet shapes at 7 TeV in ATLAS,ATLAS (LHC),https://inspirehep.net/literature/882984,882984
ATLAS_2011_S8971293,Dijet azimuthal decorrelations,ATLAS (LHC),https://inspirehep.net/literature/889546,889546
ATLAS_2011_S8983313,0-lepton squark and gluino search,ATLAS (LHC),https://inspirehep.net/literature/890749,890749
ATLAS_2011_S8994773,Calo-based underlying event at 900 GeV and 7 TeV in ATLAS,ATLAS (LHC),https://inspirehep.net/literature/891834,891834
ATLAS_2011_S9002537,Muon charge asymmetry in W events at 7 TeV in ATLAS,ATLAS (LHC),https://inspirehep.net/literature/892704,892704
ATLAS_2011_S9019561,Two-lepton supersymmetry search,ATLAS (LHC),https://inspirehep.net/literature/894578,894578
ATLAS_2011_S9035664,Measurement of J/Psi production,ATLAS (LHC),https://inspirehep.net/literature/896268,896268
ATLAS_2011_S9041966,1-lepton and 2-lepton search for first or second generation leptoquarks,ATLAS (LHC),https://inspirehep.net/literature/897002,897002
ATLAS_2011_S9108483,Long-lived heavy charged particle search,ATLAS (LHC),https://inspirehep.net/literature/914491,914491
ATLAS_2011_S9120807,Inclusive isolated diphoton analysis,ATLAS (LHC 7TeV),https://inspirehep.net/literature/916832,916832
ATLAS_2011_S9126244,Measurement of dijet production with a veto on additional central jet activity,ATLAS (LHC),https://inspirehep.net/literature/917526,917526
ATLAS_2011_S9128077,Measurement of multi-jet cross sections,ATLAS (LHC),https://inspirehep.net/literature/917599,917599
ATLAS_2011_S9131140,Measurement of the Z pT with electrons and muons at 7 TeV,ATLAS (LHC),https://inspirehep.net/literature/917931,917931
ATLAS_2011_S9212183,0-lepton squark and gluino search,ATLAS (LHC),https://inspirehep.net/literature/930002,930002
ATLAS_2011_S9212353,Single-lepton search for supersymmetry,ATLAS (LHC),https://inspirehep.net/literature/930005,930005
ATLAS_2011_S9225137,High-jet-multiplicity squark and gluino search,ATLAS (LHC),https://inspirehep.net/literature/939504,939504
ATLAS_2012_CONF_2012_001,4 or more lepton plus missing transverse energy SUSY search,ATLAS (LHC),N/A,
ATLAS_2012_CONF_2012_103,High jet-multiplicity + MET squark and gluino search,ATLAS (LHC),N/A,
ATLAS_2012_CONF_2012_104,"Search for supersymmetry at 8 TeV with jets, missing transverse momentum and one lepton",ATLAS (LHC),N/A,
ATLAS_2012_CONF_2012_105,"Search for supersymmetry with 2 same-sign leptons, jets and missing transverse energy",ATLAS (LHC),N/A,
ATLAS_2012_CONF_2012_109,0-lepton squark and gluino search,ATLAS (LHC),N/A,
ATLAS_2012_CONF_2012_153,4 or more lepton plus missing transverse energy SUSY search,ATLAS (LHC),N/A,
ATLAS_2012_I1082009,$D^{*\pm}$ production in jets,ATLAS (LHC),https://inspirehep.net/literature/1082009,1082009
ATLAS_2012_I1082936,Inclusive jet and dijet cross sections at 7 TeV,ATLAS (LHC),https://inspirehep.net/literature/1082936,1082936
